"denominazione","Stato","codice.Istat","media","diff","TITOLO_DI_STUDIO","SESSO","PARTITO_LISTA_COALIZIONE","nord","eta_sindaco","grado.di.autonomia.impositiva","grado.di.dipendenza.da.contributi.e.trasferimenti.correnti","grado.di.finanziamento.interno","grado.di.autonomia.finanziaria","rigidit√..della.spesa","incidenza.spese.personale.su.spese.correnti","grado.di.dipendenza.da.finanziamento.esterno","incidenza.spese.personale.su.entrate..correnti","spese.per.rimborso.prestiti.in.relazione.alle.entrate.correnti","indice.di.consistenza.iniziale.dei.residui.passivi","capacit√..di.spesa"
"Nave san rocco","0",22126,1401,2,"4","1","Lista Civica non pervenuta","1",38,0.165636363636364,0.619333333333333,0.137888888888889,0.202444444444444,0.439181818181818,0.418222222222222,0.0181111111111111,0.371444444444444,0.0518181818181818,1.376,NA
"Nogaredo","0",22127,2007,200,"2","1",NA,"1",56,NA,0.584714285714286,0.147857142857143,0.233857142857143,0.497428571428571,0.411428571428571,0.022,0.357571428571429,0.139428571428571,0.747428571428571,NA
"Nomi","0",22128,1374.5,-29,"4","1",NA,"1",61,0.155909090909091,0.517,0.197222222222222,0.273,0.513454545454545,0.453111111111111,0.00866666666666667,0.410777777777778,0.113090909090909,1.39455555555556,0.564545454545455
"Novaledo","0",22129,1058,74,"2","1",NA,"1",46,0.254125,NA,0.116285714285714,0.241285714285714,0.443875,0.394285714285714,0.0192857142857143,0.348571428571429,0.097375,1.35085714285714,0.553125
"Ospedaletto","0",22130,806.5,-23,"3","1",NA,"1",51,0.159181818181818,0.502888888888889,0.163888888888889,0.223333333333333,NA,0.456111111111111,0.0285555555555556,NA,0.0472727272727273,0.946555555555556,0.543909090909091
"Ossana","0",22131,847,-2,"3","1",NA,"1",63,0.1752,0.216333333333333,0.433,0.525555555555556,0.3528,NA,0.0615555555555556,0.167,0.1828,0.887666666666667,0.6338
"Ronzo-chienis","0",22135,1000,8,"2","0",NA,"1",64,0.217727272727273,0.584555555555556,0.161444444444444,0.266333333333333,0.400363636363636,0.292888888888889,0.038,0.256888888888889,0.147090909090909,0.648777777777778,0.644363636363636
"Peio","0",22136,1874.5,-23,"2","1",NA,"1",67,NA,0.480666666666667,0.204333333333333,0.242,0.614818181818182,0.270222222222222,0.144666666666667,0.196222222222222,0.439818181818182,1.39011111111111,0.627727272727273
"Pellizzano","0",22137,799,-20,"2","1",NA,"1",56,0.117125,0.346714285714286,0.319,0.363285714285714,0.373125,0.279714285714286,0.143571428571429,0.192714285714286,0.183625,0.708142857142857,NA
"Pelugo","0",22138,380,6,"2","1","Lista Civica non pervenuta","1",45,0.253818181818182,0.477444444444444,0.168777777777778,0.293777777777778,0.276181818181818,0.246777777777778,0.0137777777777778,0.191888888888889,0.0859090909090909,0.869555555555556,0.569363636363636
"Pergine valsugana","0",22139,21031,1122,"3","1",NA,"1",59,0.190727272727273,0.613,0.133444444444444,0.224888888888889,0.393727272727273,0.406888888888889,0.00422222222222222,0.368,0.0295454545454545,1.011,0.560909090909091
"Pieve tesino","0",22142,668,-16,"4","0",NA,"1",43,0.204818181818182,0.378333333333333,0.217,0.289222222222222,0.421545454545455,0.357444444444444,NA,0.295777777777778,0.135090909090909,NA,0.543090909090909
"Pinzolo","0",22143,3083.5,-49,"4","1",NA,"1",43,0.58475,0.151,0.193285714285714,0.520142857142857,0.37525,0.301714285714286,0.0348571428571429,0.252142857142857,0.129875,0.978285714285714,0.63325
"Pomarolo","0",22144,2428,124,"3","1",NA,"1",58,0.164,0.616888888888889,0.166777777777778,0.261333333333333,0.327818181818182,0.315,NA,0.308777777777778,0.0233636363636364,0.746333333333333,0.659727272727273
"Predazzo","0",22147,4517.5,-29,"3","0",NA,"1",49,0.338363636363636,0.280777777777778,0.379888888888889,0.354444444444444,0.392454545454545,0.392444444444444,0.00411111111111111,0.349222222222222,NA,0.820222222222222,0.612818181818182
"Rabbi","0",22150,1370.5,-39,"3","1",NA,"1",39,0.1469,0.581888888888889,NA,0.220666666666667,0.3375,0.326555555555556,0,0.290777777777778,0.0467,0.779333333333333,0.6089
"Riva del garda","0",22153,16799,2016,NA,"1",NA,"1",61,0.375363636363636,0.394888888888889,0.280666666666667,0.388888888888889,0.308181818181818,0.342444444444444,0,NA,0.0147272727272727,0.921888888888889,0.600454545454545
"Romallo","0",22154,609,8,"4","1",NA,"1",38,0.191454545454545,0.552333333333333,0.133,0.180777777777778,0.491909090909091,NA,0.0293333333333333,0.375,NA,NA,NA
"Romeno","0",22155,1386,34,"2","1",NA,"1",51,0.270909090909091,0.506444444444444,0.167555555555556,0.271777777777778,0.392090909090909,0.324111111111111,0.0467777777777778,0.269888888888889,0.116636363636364,1.22433333333333,0.543909090909091
"Roncegno terme","0",22156,2857.5,87,"4","1",NA,"1",37,0.2464,0.55475,0.110125,0.2125,0.4039,0.278875,0.043125,0.248625,NA,1.14125,NA
"Ronchi valsugana","0",22157,433.5,35,"4","1",NA,"1",31,0.166090909090909,0.644444444444444,NA,0.162444444444444,0.539909090909091,0.326333333333333,0.0622222222222222,0.243333333333333,0.288454545454545,0.715444444444444,0.644636363636364
"Ronzone","0",22159,408.5,35,"3","1",NA,"1",46,0.372363636363636,0.388555555555556,0.195,NA,0.505272727272727,0.347444444444444,0.0743333333333333,0.283222222222222,0.251181818181818,1.84888888888889,0.557363636363636
"Rovereto","0",22161,38897.5,2295,"4","1","Lista Civica non pervenuta","1",44,0.155888888888889,0.607875,NA,0.2625,0.375777777777778,0.324625,0.0295,0.29675,NA,0.851125,NA
"Rumo","0",22163,811.5,-15,"3","0",NA,"1",51,0.146727272727273,0.253888888888889,0.318666666666667,0.375555555555556,0.477090909090909,0.340777777777778,0.0872222222222222,0.230333333333333,0.243545454545455,1.27477777777778,0.547545454545455
"Sagron mis","0",22164,184,2,"4","1",NA,"1",47,0.1385,0.64125,0.107375,0.163375,0.0553,0.009625,0,0.0085,0.0046,2.172125,NA
"Samone","0",22165,1056.5,1029,"3","1","LISTA CIVICA: SAMONE SCEGLIE","1",64,0.385368421052632,0.37875,0.187,0.427625,0.398666666666667,0.28925,0.0428,0.24175,0.120526315789474,0.744875,NA
"San michele alladige","0",22167,3065,326,"4","0",NA,"1",39,0.2447,0.503222222222222,0.173888888888889,0.298777777777778,0.4407,0.454333333333333,0.0278888888888889,0.389,0.0483,0.730111111111111,NA
"Santorsola terme","0",22168,1109,68,"4","1",NA,"1",29,0.1291,0.383777777777778,0.270333333333333,0.315111111111111,NA,0.381111111111111,0.0688888888888889,0.291,0.3496,1.40377777777778,NA
