"denominazione","Stato","codice.Istat","media","diff","TITOLO_DI_STUDIO","SESSO","PARTITO_LISTA_COALIZIONE","nord","eta_sindaco","grado.di.autonomia.impositiva","grado.di.dipendenza.da.contributi.e.trasferimenti.correnti","grado.di.finanziamento.interno","grado.di.autonomia.finanziaria","rigidit√..della.spesa","incidenza.spese.personale.su.spese.correnti","grado.di.dipendenza.da.finanziamento.esterno","incidenza.spese.personale.su.entrate..correnti","spese.per.rimborso.prestiti.in.relazione.alle.entrate.correnti","indice.di.consistenza.iniziale.dei.residui.passivi","capacit√..di.spesa"
"Bormio","0",14009,4105,172,"4","1","LISTA CIVICA: NOI PER BORMIO","1",65,0.659545454545455,0.0823333333333333,0.240333333333333,0.746333333333333,0.255545454545455,NA,0.000888888888888889,0.177333333333333,0.0796363636363636,0.790333333333333,0.729909090909091
"Buglio in monte","0",14010,2050,-84,"3","1","LEGA NORD-BASTA øURO-CIVICA","1",53,0.2913,NA,0.373,0.580375,NA,0.185125,0.083375,0.1715,0.0818,0.751375,0.653
"Caiolo","0",14011,1057.5,59,"2","1","LISTA CIVICA: CAIOLO DEMOCRATICA","1",61,0.556818181818182,0.210444444444444,0.216666666666667,0.549444444444444,0.234363636363636,0.179555555555556,0.00333333333333333,0.155777777777778,0.0782727272727273,0.808333333333333,0.645090909090909
"Campodolcino","0",14012,980,-98,NA,"0",NA,"1",47,0.590454545454545,0.139666666666667,0.224555555555556,0.631666666666667,0.191,0.196888888888889,0.0194444444444444,0.171111111111111,0.0261818181818182,NA,0.684909090909091
"Caspoggio","0",14013,1436,-124,"2","1","LISTA CIVICA: CASPOGGIO C'E'....","1",51,0.620545454545455,0.217444444444444,0.157,0.582888888888889,0.284818181818182,0.0881111111111111,0.0743333333333333,0.0857777777777778,0.214454545454545,0.656444444444444,0.751
"Castello dellacqua","0",14014,625.5,-39,"4","1","LISTA CIVICA: UNITI PER CASTELLO","1",52,0.5914,0.247375,0.116375,0.475125,0.3426,0.3055,0.02775,0.26975,NA,1.033625,0.5948
"Castione andevenno","0",14015,1577,24,"3","1","LISTA CIVICA: CRESCI CASTIONE","1",48,0.593636363636364,0.142666666666667,0.178222222222222,0.529444444444444,0.295363636363636,0.267444444444444,0.047,0.235555555555556,0.0743636363636364,0.946666666666667,0.646181818181818
"Cedrasco","0",14016,443,-24,"4","1","LISTA CIVICA: VICINI ALLA GENTE","1",65,0.320545454545455,0.175111111111111,0.296888888888889,0.435222222222222,0.312,0.290777777777778,0.0337777777777778,0.231444444444444,0.0798181818181818,0.852,NA
"Cercino","0",14017,768,24,NA,"1",NA,"1",52,0.637,0.256857142857143,0.276857142857143,0.354,0.329555555555556,NA,0.0202857142857143,0.258142857142857,0.0452222222222222,1.80014285714286,0.560222222222222
"Chiavenna","0",14018,7289.5,-33,"4","1","LISTA CIVICA: VIVI CHIAVENNA","1",36,0.499818181818182,NA,0.239,0.544222222222222,0.466636363636364,0.317555555555556,0.0788888888888889,0.291,NA,0.365111111111111,NA
"Chiesa in valmalenco","0",14019,2516.5,-137,"4","0","LISTA CIVICA: CHIESA VALMALENCO","1",67,0.636272727272727,NA,0.203111111111111,0.598555555555556,0.219909090909091,0.141222222222222,0.0744444444444444,0.123444444444444,0.113545454545455,0.789666666666667,0.753818181818182
"Chiuro","0",14020,2526,10,"3","1","LISTA CIVICA: RINNOVAMENTO E CONTINUITA","1",50,0.620090909090909,NA,0.171222222222222,0.477,0.607818181818182,0.273333333333333,0.195333333333333,0.247666666666667,0.368181818181818,0.397888888888889,0.799818181818182
"Cino","0",14021,359.5,-31,"3","1","LISTA CIVICA: UN IMPEGNO CONCRETO","1",50,0.530818181818182,0.252777777777778,0.165333333333333,0.497333333333333,0.348454545454545,NA,0.0362222222222222,0.267222222222222,0.0774545454545455,0.683888888888889,0.698272727272727
"Civo","0",14022,1108.5,-5,"4","1","LISTA CIVICA: CONTINUITA' PER CIVO","1",44,0.596818181818182,0.110333333333333,0.262444444444444,0.526111111111111,0.391272727272727,0.228666666666667,0.158888888888889,0.183111111111111,0.216090909090909,0.539222222222222,NA
"Colorina","0",14023,1416,-74,"4","1","LISTA CIVICA: INSIEME PER COLORINA","1",44,0.539363636363636,0.177,0.176333333333333,0.482333333333333,0.361545454545455,0.251777777777778,0.05,0.231111111111111,0.129181818181818,1.02322222222222,0.721363636363636
"Cosio valtellino","0",14024,5455.5,103,"4","1","LISTA CIVICA: COSIO PER TUTTI","1",34,0.612636363636364,0.174666666666667,0.196222222222222,0.637555555555556,0.334,0.257333333333333,0.0404444444444444,NA,0.109909090909091,0.537888888888889,0.734545454545455
"Dazio","0",14025,440.5,25,"3","1","LISTA CIVICA: CONTINUIAMO PER DAZIO","1",61,NA,0.198777777777778,0.143222222222222,NA,0.291545454545455,0.272666666666667,NA,0.223777777777778,0.0729090909090909,0.687777777777778,NA
"Delebio","0",14026,3218.5,117,"3","1","LISTA CIVICA: UNA SQUADRA PER AMMINISTRARE","1",52,0.353090909090909,0.310555555555556,NA,0.539666666666667,0.314090909090909,0.292333333333333,0.0585555555555556,0.274444444444444,0.0491818181818182,0.553444444444444,0.769909090909091
"Dubino","0",14027,3586,90,"4","1","LISTA CIVICA: DUBINO NUOVA","1",47,0.645818181818182,0.227444444444444,0.0997777777777778,0.544333333333333,0.290909090909091,0.248,0.0993333333333333,0.212555555555556,0.0835454545454545,0.621,0.701181818181818
"Faedo valtellino","0",14028,550.5,11,NA,"1",NA,"1",36,0.535454545454545,0.266777777777778,0.122888888888889,NA,0.398181818181818,0.322111111111111,0.0683333333333333,0.299666666666667,0.0989090909090909,1.07611111111111,0.619272727272727
"Forcola","0",14029,815.5,-31,"4","1","LISTA CIVICA: INSIEME PER VIVERE FORCOLA","1",57,0.498181818181818,0.228666666666667,0.183666666666667,0.463666666666667,0.197090909090909,0.217,NA,0.181777777777778,NA,0.825111111111111,0.571363636363636
"Fusine","0",14030,595,-34,"3","1","LISTA CIVICA: PROGETTO FUSINE","1",53,0.343181818181818,0.171,0.336,NA,0.345454545454545,0.346333333333333,0.0158888888888889,0.283,0.0552727272727273,1.319,0.621363636363636
"Gerola alta","0",14031,181,-18,NA,"0",NA,"1",59,0.519272727272727,0.0537777777777778,0.247888888888889,0.523222222222222,0.233727272727273,0.239333333333333,0.046,0.149,0.0874545454545455,1.006,0.554545454545455
"Gordona","0",14032,1907.5,99,"3","1","LISTA CIVICA: GORDONA NEL CUORE","1",40,0.433363636363636,0.164444444444444,0.326555555555556,0.588666666666667,0.232272727272727,0.204555555555556,0.077,0.163666666666667,0.0746363636363636,0.852666666666667,0.662454545454546
"Grosio","0",14033,4507,-204,"4","1","LISTA CIVICA: UNITI PER GROSIO","1",57,0.596363636363636,0.195333333333333,0.185777777777778,0.577444444444444,0.271636363636364,0.284111111111111,0.0676666666666667,0.201222222222222,0.0778181818181818,1.15422222222222,0.620090909090909
"Grosotto","0",14034,1629,32,"3","1","LISTA CIVICA: VERSO IL FUTURO","1",42,0.215181818181818,0.348333333333333,0.348444444444444,0.519444444444444,0.273,0.267777777777778,0.0402222222222222,0.230666666666667,NA,0.69,0.720818181818182
"Madesimo","0",14035,530.5,-11,"3","1",NA,"1",69,0.757636363636364,0.0484444444444444,0.165555555555556,0.674333333333333,0.202909090909091,NA,NA,0.145777777777778,NA,0.662444444444445,0.722727272727273
"Lanzada","0",14036,1340.5,-53,"3","1","LISTA CIVICA: LANZADA VALMALENCO","1",54,0.653090909090909,0.144444444444444,0.205777777777778,0.685555555555556,0.168545454545455,NA,0.0495555555555556,0.0828888888888889,0.100727272727273,0.593222222222222,0.717454545454545
"Livigno","0",14037,6322,706,"3","1","LISTA CIVICA: PUNTO LIVIGNO","1",51,0.795272727272727,0.031,NA,0.845444444444444,0.194636363636364,0.130666666666667,0.00544444444444444,0.100777777777778,0.0987272727272727,0.696,0.746272727272727
"Lovero","0",14038,661.5,-15,"3","0","LISTA CIVICA: INSIEME SI PUO' CAMBIARE","1",51,0.683272727272727,0.188333333333333,0.114333333333333,0.559444444444444,NA,0.280555555555556,0.0533333333333333,0.169444444444444,0.0658181818181818,1.73522222222222,0.459636363636364
"Mantello","0",14039,745,-8,"3","1","LISTA CIVICA: VIVERE MANTELLO","1",32,0.520818181818182,0.209555555555556,0.194555555555556,0.519111111111111,0.361727272727273,0.356,0.0322222222222222,0.298111111111111,0.0682727272727273,0.654555555555556,NA
"Mazzo di valtellina","0",14040,1017,-46,"3","1","LISTA CIVICA: MAZZO E IL SUO FUTURO","1",57,0.507818181818182,0.207777777777778,0.202111111111111,0.458,0.315545454545455,0.288444444444444,0.0237777777777778,0.250333333333333,0.0717272727272727,1.18466666666667,0.656272727272727
"Mello","0",14041,970.5,-51,"3","1","LISTA CIVICA: INSIEME PER CRESCERE","1",48,NA,0.257444444444444,0.137,0.474888888888889,0.372363636363636,0.308444444444444,0.0398888888888889,0.258777777777778,0.112454545454545,0.766,0.697545454545455
"Mese","0",14043,1783.5,49,"4","0","LISTA CIVICA: MESE SOLIDALE","1",46,0.649090909090909,0.197888888888889,NA,0.606555555555556,0.256181818181818,0.246333333333333,0.0176666666666667,0.214777777777778,NA,0.462222222222222,0.771181818181818
"Montagna in valtellina","0",14044,3017,-36,"2","1",NA,"1",54,0.588636363636364,0.155666666666667,0.239111111111111,0.624777777777778,0.312363636363636,0.306222222222222,0.0371111111111111,0.258111111111111,0.0676363636363636,0.413888888888889,0.772636363636364
"Morbegno","0",14045,12130,644,"4","1","LISTA CIVICA: CAMBIA MORBEGNO","1",41,0.562545454545455,0.169111111111111,0.316333333333333,0.612888888888889,0.352727272727273,0.281111111111111,0.00911111111111111,0.252777777777778,0.101818181818182,0.705222222222222,0.776454545454546
"Novate mezzola","0",14046,1851,72,"3","0","LISTA CIVICA: IMPEGNO PER TUTTI","1",54,0.566,NA,0.207777777777778,0.632444444444444,NA,NA,0.00833333333333333,0.179444444444444,NA,0.724888888888889,0.724727272727273
"Pedesina","0",14047,34,6,"2","1","LISTA CIVICA: PEDESINA","1",57,0.502428571428571,0.348333333333333,0.0855,0.366333333333333,0.227714285714286,NA,0.062,0.0991666666666667,0.0988571428571429,1.2595,0.608428571428571
"Piantedo","0",14048,1353,58,"2","1","LISTA CIVICA: PIANTEDO NOI CON VOI","1",56,0.624545454545455,0.175444444444444,0.176555555555556,0.633555555555556,0.270181818181818,0.259111111111111,0.0131111111111111,0.219777777777778,0.0528181818181818,0.775555555555556,0.768545454545455
"Piateda","0",14049,2221,-190,"3","1","LISTA CIVICA: ESPERIENZA E INNOVAZIONE","1",65,0.630818181818182,0.145444444444444,0.179222222222222,NA,0.252272727272727,0.247,0.0408888888888889,NA,0.0587272727272727,NA,0.675636363636364
"Piuro","0",14050,1926.5,-27,"4","1",NA,"1",28,0.455363636363636,0.151666666666667,NA,0.573666666666667,0.269,NA,0.0305555555555556,0.209777777777778,0.062,1.04733333333333,0.672727272727273
"Poggiridenti","0",14051,1865.5,3,"3","1","LISTA CIVICA: POGGINSIEME","1",54,0.576818181818182,0.216333333333333,0.161444444444444,0.556555555555556,0.375,0.272666666666667,0.0731111111111111,0.244777777777778,0.136818181818182,0.291333333333333,0.813454545454545
"Ponte in valtellina","0",14052,2293.5,-23,"3","1","LISTA CIVICA: PROGETTO PER PONTE","1",48,0.498727272727273,0.135555555555556,0.290111111111111,0.610111111111111,0.347909090909091,0.293666666666667,0.0277777777777778,0.251888888888889,0.0922727272727273,0.599333333333333,0.731818181818182
"Postalesio","0",14053,663,10,"3","1","LISTA CIVICA: RINNOVIAMO INSIEME","1",52,0.489090909090909,0.235666666666667,0.190111111111111,0.479888888888889,0.291545454545455,0.217111111111111,0.0143333333333333,0.170888888888889,0.122636363636364,1.617,NA
"Prata camportaccio","0",14054,2936,50,"4","1","LISTA CIVICA: BENE COMUNE","1",35,0.600363636363636,0.220333333333333,0.152333333333333,0.587,0.254545454545455,0.228777777777778,0.0356666666666667,0.195222222222222,0.0630909090909091,0.690222222222222,0.674636363636364
"Rasura","0",14055,291,-2,NA,"1","LISTA CIVICA: RASURA PER RASURA","1",37,0.514818181818182,0.275666666666667,0.151111111111111,0.442777777777778,0.302818181818182,0.257444444444444,0.00466666666666667,0.224555555555556,0.0768181818181818,0.736777777777778,0.729
"Rogolo","0",14056,556,0,"3","1","LISTA CIVICA: SIAMO ROGOLO","1",44,0.648545454545455,0.169111111111111,0.133888888888889,0.538555555555556,0.297727272727273,0.236888888888889,0.0357777777777778,0.200777777777778,0.0969090909090909,0.833111111111111,0.654090909090909
"Samolaco","0",14057,2876,-26,NA,"1","LISTA CIVICA: SAMOLACO RIPARTE","1",50,0.485454545454545,0.303555555555556,0.206333333333333,0.530888888888889,0.262,0.221666666666667,0,0.193111111111111,0.0703636363636364,0.769888888888889,NA
"San giacomo filippo","0",14058,373,-48,"3","1","LISTA CIVICA: SAN GIACOMO VIVA!","1",57,0.559818181818182,0.109888888888889,0.239333333333333,NA,0.213727272727273,0.241111111111111,0.00811111111111111,0.192,0.0256363636363636,1.10288888888889,NA
"Sernio","0",14059,493.5,-11,"3","1","LISTA CIVICA: DIMENSIONE PAESE","1",58,0.467727272727273,0.255111111111111,0.184888888888889,0.473111111111111,0.396181818181818,0.344222222222222,0.042,0.293444444444444,0.117727272727273,1.236,NA
"Sondalo","0",14060,4145.5,-161,"3","1","LISTA CIVICA: OBIETTIVI IN COMUNE","1",46,0.401,0.226222222222222,0.292,0.588555555555555,0.428363636363636,0.382777777777778,0.0718888888888889,0.353222222222222,0.0821818181818182,NA,NA
"Sondrio","0",14061,21612,-46,"4","1","SINISTRA: PER SONDRIO | LISTA CIVICA: SONDRIO DEMOCRATICA | LISTA CIVICA: SONDRIO CITTA' IDEALE | LISTA CIVICA: SONDRIO 2020 | PARTITO DEMOCRATICO","1",64,0.667363636363636,0.137444444444444,NA,0.600444444444444,0.315454545454545,0.285555555555556,0.00933333333333333,0.268555555555556,0.0505454545454545,0.427333333333333,NA
"Spriana","0",14062,92.5,-17,"3","1",NA,"1",70,0.434636363636364,NA,0.162555555555556,0.385333333333333,NA,0.291333333333333,0.039,NA,0.0726363636363636,1.21766666666667,NA
"Talamona","0",14063,4709.5,-133,"4","1",NA,"1",41,0.621818181818182,0.179777777777778,0.150222222222222,0.566,0.265636363636364,0.200444444444444,0.066,0.178666666666667,NA,1.00033333333333,NA
"Tartano","0",14064,193.5,11,"3","1","LISTA CIVICA: INSIEME CON VOI","1",64,NA,0.146666666666667,0.290555555555556,0.544888888888889,0.401545454545455,0.334,0.0958888888888889,0.266888888888889,0.147818181818182,0.683,NA
"Teglio","0",14065,4591.5,-129,"2","1","LISTA CIVICA: ALLEANZA PER TEGLIO","1",52,0.679090909090909,0.133555555555556,0.167444444444444,0.605,0.281272727272727,0.220444444444444,0.118888888888889,0.204333333333333,0.0838181818181818,0.776222222222222,NA
"Tirano","0",14066,9040,-106,"4","1",NA,"1",50,0.634454545454545,0.125222222222222,0.211888888888889,0.696555555555556,0.312636363636364,0.249333333333333,0.0244444444444444,0.217111111111111,0.0979090909090909,0.899666666666667,NA
"Torre di santa maria","0",14067,785.5,-81,"2","1",NA,"1",61,0.444727272727273,NA,NA,NA,0.328454545454545,0.329222222222222,0.0288888888888889,0.282111111111111,0.0457272727272727,0.742777777777778,NA
"Tovo di santagata","0",14068,633,12,"4","1","LISTA CIVICA: UN FUTURO PER TOVO","1",50,0.537818181818182,NA,0.129666666666667,NA,NA,0.286,0.0218888888888889,0.261888888888889,NA,2.25966666666667,NA
"Traona","0",14069,2663.5,235,"3","1","LISTA CIVICA: NOI E VOI INSIEME","1",66,NA,0.0795,0.217666666666667,0.692833333333333,0.278375,0.215833333333333,0,0.183666666666667,0.107625,0.492666666666667,NA
"Tresivio","0",14070,1995,-36,"3","1","LISTA CIVICA: TRESIVIO APERTA","1",61,0.589363636363636,0.217222222222222,NA,0.512,0.399181818181818,0.34,NA,0.294111111111111,0.115090909090909,0.523333333333333,NA
"Valdidentro","0",14071,4087.5,67,NA,"1",NA,"1",36,0.740636363636364,0.138111111111111,0.121888888888889,0.713111111111111,0.162363636363636,0.168444444444444,0.0373333333333333,NA,0.04,0.896333333333333,NA
"Valdisotto","0",14072,3589.5,105,"3","1","LISTA CIVICA: VIVERE VALDISOTTO","1",50,0.522909090909091,0.123444444444444,0.268111111111111,0.628,0.226,0.204666666666667,0.055,0.186777777777778,0.0387272727272727,0.770555555555556,NA
"Valfurva","0",14073,2622.5,-139,"2","1","LISTA CIVICA: FORBA","1",68,0.628,0.125111111111111,0.178,0.551666666666667,0.326818181818182,0.271,0.00322222222222222,0.235444444444444,0.0960909090909091,2.73733333333333,NA
"Val masino","0",14074,911,-42,NA,"1",NA,"1",45,0.414,0.148375,0.279125,NA,0.4095,0.252125,0.10975,0.209875,0.2066,0.77625,NA
"Verceia","0",14075,1089,4,"4","1","LISTA CIVICA: VERCEIA VIVA","1",29,NA,0.369666666666667,NA,0.414888888888889,0.377181818181818,0.210333333333333,0.0894444444444444,0.190777777777778,0.185,0.581444444444444,NA
"Vervio","0",14076,213,6,"3","1","LISTA CIVICA: INSIEME PER VERVIO","1",56,0.52,NA,0.176777777777778,0.436222222222222,NA,NA,0.0203333333333333,NA,0.0675454545454545,1.51744444444444,NA
"Villa di chiavenna","0",14077,998.5,-71,"3","1","LISTA CIVICA: IMPEGNO PER VILLA","1",48,0.449454545454545,0.212,0.253888888888889,0.514111111111111,0.335181818181818,0.330444444444444,0.0145555555555556,0.27,0.0670909090909091,0.99,NA
"Villa di tirano","0",14078,2948,-12,"2","1","LISTA CIVICA: STELLA ALPINA","1",48,0.643727272727273,0.191111111111111,0.139666666666667,0.625888888888889,0.274363636363636,0.265777777777778,0.0487777777777778,0.218111111111111,0.0611818181818182,NA,NA
"Abbiategrasso","0",15002,31698,1550,"4","1","LISTA CIVICA: NAI SINDACO | LEGA NORD | FORZA ITALIA | FRATELLI D'ITALIA - ALLEANZA NAZIONALE | LISTA CIVICA: ABBIATEGRASSO MERITA","1",54,0.532,0.211444444444444,0.240888888888889,0.619666666666667,0.372,0.330888888888889,0.00966666666666667,0.314111111111111,0.0650909090909091,NA,0.674727272727273
"Albairate","0",15005,4646,56,"3","1","LISTA CIVICA: VIVERE ALBAIRATE","1",57,0.517,0.137888888888889,0.323777777777778,0.708333333333333,0.309727272727273,0.258111111111111,0.0542222222222222,0.229555555555556,0.0832727272727273,0.541111111111111,0.751909090909091
"Arconate","0",15007,6571,86,"4","1","LISTA CIVICA: CAMBIAMO ARCONATE","1",49,0.641090909090909,0.105777777777778,0.251777777777778,0.671,0.376727272727273,0.190333333333333,0.0602222222222222,0.169111111111111,0.210727272727273,0.915222222222222,0.704909090909091
"Arese","0",15009,19156,68,"4","0","PARTITO DEMOCRATICO | UNIONE ITALIANA | LISTA CIVICA: FORUM","1",44,0.630181818181818,0.212444444444444,0.149777777777778,NA,0.327636363636364,0.292777777777778,0.00155555555555556,0.287777777777778,0.0473636363636364,0.558777777777778,0.690454545454545
"Arluno","0",15010,11807.5,573,"4","1","LISTA CIVICA: SOLIDARIETA' E PROGRESSO","1",47,0.491272727272727,0.223444444444444,0.265555555555556,0.631444444444444,0.236181818181818,0.215777777777778,0.0108888888888889,0.208555555555556,0.0357272727272727,0.886444444444444,0.698090909090909
"Assago","0",15011,8486.5,759,"3","1","LISTA CIVICA: FATTI NON PAROLE","1",64,0.666,0.0858888888888889,0.223111111111111,0.663777777777778,NA,0.222555555555556,0,0.191111111111111,0.00454545454545455,1.08066666666667,0.635727272727273
"Bareggio","0",15012,17122.5,121,"3","1","LISTA CIVICA: LE ALI PER CAMBIARE IN VOLO | LISTA CIVICA: VOI CON NOI | Colore Politico non pervenuto | PARTITO DEMOCRATICO | LISTA CIVICA: IO AMO BAREGGIO","1",63,0.624181818181818,0.144444444444444,0.245777777777778,0.668555555555556,0.387545454545455,0.318888888888889,0.00255555555555556,0.304333333333333,0.0908181818181818,NA,0.768181818181818
"Basiano","0",15014,3633,36,"4","1","LISTA CIVICA: INSIEME PER BASIANO","1",45,0.762727272727273,0.0984444444444444,0.129222222222222,0.728222222222222,0.0788181818181818,0.0527777777777778,0,0.044,0.032,1.58233333333333,0.707363636363636
"Basiglio","0",15015,7718,356,"3","1","LISTA CIVICA: L'OFFICINA DI BASIGLIO","1",72,0.653090909090909,0.109333333333333,0.186666666666667,0.650777777777778,0.332636363636364,0.264,0.0808888888888889,0.265666666666667,0.0726363636363636,NA,0.617909090909091
"Bellinzago lombardo","0",15016,3822,36,"2","0","LISTA CIVICA: VIVERE BELLINZAGO","1",64,0.551545454545455,NA,0.244888888888889,0.650111111111111,0.287,0.282555555555556,0.0484444444444444,NA,0.0463636363636364,0.817333333333333,0.740181818181818
"Bernate ticino","0",15019,3044.5,-43,"4","1","LEGA NORD-BASTA øURO-CIVICA","1",72,0.4957,0.172777777777778,0.252333333333333,NA,0.3382,0.314,0.00411111111111111,0.304444444444444,0.035,NA,0.6577
"Besate","0",15022,2042,20,"4","0","LISTA CIVICA: NOI BESATESI","1",54,0.485363636363636,NA,0.380888888888889,0.539888888888889,0.357636363636364,0.312333333333333,0,0.302,0.068,0.431111111111111,0.773
"Binasco","0",15024,7181,58,NA,"1","LISTA CIVICA: BINASCO PIU'","1",47,0.703727272727273,0.148555555555556,0.14,0.715777777777778,0.355727272727273,0.319777777777778,0.019,0.306777777777778,0.0554545454545455,0.307777777777778,0.801454545454545
"Boffalora sopra ticino","0",15026,4152,-62,"3","1","LEGA NORD-BASTA øURO-ALTRI","1",43,0.5681,0.1235,0.270875,0.71125,NA,0.300125,0.025125,0.275375,0.0788,0.615,0.7109
"Bollate","0",15027,35792.5,525,"3","1","PARTITO DEMOCRATICO | PARTITO SOCIALISTA ITALIANO | SINISTRA ECOLOGIA LIBERTA'","1",47,0.551636363636364,0.184111111111111,NA,0.590333333333333,0.427545454545455,NA,0.102222222222222,0.270222222222222,NA,0.567777777777778,0.752181818181818
"Bresso","0",15032,26032.5,607,"3","1","SINISTRA: UNITA BRESSESE | LISTA CIVICA: BRESSO C'E' | PARTITO DEMOCRATICO","1",51,0.604,0.152888888888889,0.194111111111111,0.544,0.606545454545454,0.278,0.211,0.237555555555556,0.369727272727273,0.684666666666667,0.707454545454545
"Bubbiano","0",15035,2294.5,135,"3","1","LISTA CIVICA: BUBBIANO PER VOI","1",50,NA,0.0983333333333333,0.426,0.737444444444444,0.249272727272727,0.232,0.0366666666666667,0.220222222222222,0.035,0.415111111111111,0.767454545454546
"Buccinasco","0",15036,26706.5,429,"3","1","PARTITO DEMOCRATICO | LISTA CIVICA: NOI DI BUCCINASCO","1",54,0.562090909090909,0.164333333333333,0.294333333333333,0.626444444444444,0.245727272727273,NA,NA,0.233555555555556,NA,0.376222222222222,0.759
"Buscate","0",15038,4697.5,-109,"4","1","LISTA CIVICA: UNIAMO BUSCATE","1",43,0.659727272727273,0.120777777777778,0.218555555555556,0.703111111111111,0.305636363636364,0.231888888888889,0.0674444444444444,0.213111111111111,0.101,0.955555555555556,0.624
"Bussero","0",15040,8481,-142,"3","1","LISTA CIVICA: IDEAZIONE","1",54,NA,0.225888888888889,0.197888888888889,0.594666666666667,0.316181818181818,0.310333333333333,0,0.298444444444444,NA,0.952666666666667,0.723727272727273
"Busto garolfo","0",15041,13671.5,387,"4","0","LISTA CIVICA: PAESE AMICO","1",57,0.578181818181818,0.153111111111111,0.296888888888889,0.645666666666667,0.300545454545455,NA,0.000777777777777778,0.223111111111111,0.0823636363636364,0.943333333333333,0.667454545454545
"Calvignasco","0",15042,1197.5,33,"4","1","LISTA CIVICA: INSIEME PER CALVIGNASCO","1",46,0.589909090909091,0.162444444444444,0.216,0.665333333333333,0.314454545454545,0.293555555555556,0.0486666666666667,0.280222222222222,0.0503636363636364,0.596333333333333,0.730454545454545
"Cambiago","0",15044,6727.5,409,"3","0","LEGA NORD-CIVICHE","1",48,NA,0.185125,0.2855,0.545,0.2683,0.23075,0.01175,0.232125,0.0412,0.52175,0.74
"Canegrate","0",15046,12497,112,"3","1","LISTA CIVICA: CANEGRATE INSIEME","1",63,0.638,0.161333333333333,0.196222222222222,0.708,0.297181818181818,0.255555555555556,0.00511111111111111,NA,0.0542727272727273,0.428222222222222,0.776181818181818
"Carpiano","0",15050,4063.5,167,"3","1","LISTA CIVICA: CARPIANO PER TE","1",60,0.623727272727273,0.0865555555555556,0.222222222222222,0.745888888888889,0.242181818181818,0.225222222222222,0,0.225555555555556,0.0173636363636364,0.448444444444444,0.728545454545454
"Carugate","0",15051,14811.5,1291,"SPECIALIZZAZIONE POST 4 / DOTTORATO DI RICERCA","1","LISTA CIVICA: PRO CARUGATE","1",33,0.666636363636364,0.159333333333333,0.187333333333333,0.608111111111111,0.361,0.258222222222222,0.000222222222222222,0.249333333333333,0.114545454545455,0.594333333333333,0.709545454545454
"Casarile","0",15055,3957,178,"3","1","LISTA CIVICA: OBIETTIVO COMUNE","1",53,0.646727272727273,0.148555555555556,0.196777777777778,0.552222222222222,0.455363636363636,0.282666666666667,0.151777777777778,0.274666666666667,0.185545454545455,NA,0.737636363636364
"Casorezzo","0",15058,5382,74,"3","1","LISTA CIVICA: LA BOTTEGA DEL DOMANI","1",50,0.642636363636364,0.145444444444444,0.211,0.651333333333333,0.294181818181818,0.229333333333333,0.014,0.212444444444444,0.0828181818181818,1.071,0.701
"Cassano dadda","0",15059,18592.5,121,"4","1","LISTA CIVICA: CASSANO ETICA ECOLOGISTA | PARTITO DEMOCRATICO | SINISTRA: SINISTRA PER CASSANO","1",46,0.553636363636364,0.156222222222222,0.275666666666667,0.611333333333333,0.279454545454545,0.262222222222222,0.0194444444444444,0.242888888888889,0.0446363636363636,0.883777777777778,0.721727272727273
"Cassina de pecchi","0",15060,13527,626,"3","1","LISTA CIVICA: CASSINA DOMANI","1",58,0.623818181818182,0.116222222222222,0.240777777777778,0.728666666666667,0.307818181818182,0.272777777777778,NA,0.257888888888889,0.0526363636363636,0.481666666666667,0.725545454545454
"Cassinetta di lugagnano","0",15061,1873.5,-61,"3","1","LISTA CIVICA: PER CASSINETTA","1",45,0.551818181818182,NA,0.228666666666667,NA,0.303545454545455,0.288111111111111,0,0.264444444444444,0.0460909090909091,0.898444444444444,0.759636363636364
"Castano primo","0",15062,11053.5,153,"4","1","LISTA CIVICA: INSIEME RINNOVIAMO CASTANO","1",40,0.715363636363636,0.135666666666667,0.149555555555556,0.718,0.377363636363636,0.285333333333333,0.0278888888888889,0.267111111111111,0.112545454545455,0.595333333333333,0.699727272727273
"Cernusco sul naviglio","0",15070,32608,3926,"4","1","PARTITO DEMOCRATICO | LISTA CIVICA: VIVERE CERNUSCO","1",45,0.589727272727273,0.199888888888889,0.229444444444444,0.570111111111111,0.276,0.237,0.0118888888888889,0.221444444444444,0.0606363636363636,0.668777777777778,0.745
"Cerro al lambro","0",15071,5040.5,119,"3","1","LISTA CIVICA: INSIEME PER CERRO AL LAMBRO","1",46,0.556181818181818,0.173111111111111,0.183,0.483666666666667,0.520363636363636,0.218333333333333,0.216111111111111,0.216777777777778,0.308636363636364,1.94566666666667,0.656363636363636
"Cerro maggiore","0",15072,14980,452,NA,NA,NA,NA,NA,0.621,0.173444444444444,0.204666666666667,0.690666666666667,0.300181818181818,0.315222222222222,0,0.294444444444444,0.0115454545454545,0.848555555555556,0.723727272727273
"Cesano boscone","0",15074,23265,60,"4","1","ITALIA DEI VALORI | SINISTRA: UNITA PER CESANO BOSCONE | PARTITO DEMOCRATICO | LISTA CIVICA: IL FUTURO IN COMUNE","1",36,NA,0.190555555555556,0.297555555555556,0.632888888888889,0.36,0.288333333333333,0.0427777777777778,0.273444444444444,0.101454545454545,0.503666666666667,0.725454545454545
